id,name,lat,lng,category,description,author,difficulty,favorite,date_added,region
-OlMwjINy-09jNRGmqK4,Lighthouse On Alcatraz,37.826184,-122.42228,building,,Anonymous,1,False,2026-02-13 09:03:38,California
-OlMxHdGyM0ePEx_rqZM,Preston School of Industry,38.3604,-120.934,building,,Anonymous,1,True,2026-02-13 09:06:03,California
-OlMyLrkV-Rkg1FhL4Wu,Old wooden building,37.624381,-122.130471,building,haven't been inside but looks easy to get in,Anonymous,0,False,2026-02-13 09:10:42,California
-OlMyYo1NOLBmSMK_oew,Abandoned Building,38.477201,-122.73882,building,,Anonymous,0,False,2026-02-13 09:11:35,California
-OlMyuqSF4wlvQkXuHy4,Abandoned Barn,37.84648,-122.066711,house,"Abandoned barn, easy access all around, pretty big, cool hike to get to, reportedly haunted",Anonymous,0,False,2026-02-13 09:13:10,California
-OlMzCX0Z8yD6CXgHnKl,Gats Warehouse,37.90938,-122.38638,building,,Anonymous,0,False,2026-02-13 09:14:26,California
-OlMza2gnq0ytYVaU3IR,Possibly Abandoned Building,37.90977,-122.39049,building,Maybe abandoned never seen any cars near it but always be careful,Anonymous,0,False,2026-02-13 09:16:07,California
-OlMzxUwou6tWQfsFu1a,Mansion,38.82976,-122.897101,house,,Anonymous,0,False,2026-02-13 09:17:43,California
-OlN-S6q9Bt-Her2MLpE,🏚️,39.315601,-120.3207,house,,Anonymous,0,False,2026-02-13 09:19:52,California
-OlN-jN7CZLnFwZZ3biN,Abandoned Barn Yard,38.599751,-121.039791,house,,Anonymous,0,False,2026-02-13 09:21:07,California
-OlN-wofwvcttnzMKnth,Old Ranch,38.98488,-121.53404,house,,Anonymous,0,False,2026-02-13 09:22:02,California
-OlN0C-M_5UGrMh3g2KF,Lots of abandoned places,39.482821,-121.74331,building,"Abandoned house, Water shed, and garage (with a toyota tercel inside)
completely overgrown and left in disaray
close to small town, be wary of townsfolk",Anonymous,0,False,2026-02-13 09:23:08,California
-OlN0TqDPlZF1k4TGDk-,Abandoned House + Mill,38.342291,-121.56219,house,,Anonymous,0,False,2026-02-13 09:24:21,California
-OlN0sKMy2BVpYop6iEA,Old House,38.661731,-121.74674,house,,Anonymous,0,False,2026-02-13 09:26:06,California
-OlN1F8QMF_SfUyMYVXi,Abandoned Barn,37.86424,-122.032631,house,,Anonymous,0,False,2026-02-13 09:27:43,California
-OlN1U635rpomblnxjM7,Gas Station,33.88746,-118.073231,building,,Anonymous,0,False,2026-02-13 09:28:45,California
-OlN1f4NZKEL4AqE0-Jv,Abandoned Fishing HQ,33.90132,-118.37914,building,,Anonymous,0,False,2026-02-13 09:29:34,California
-OlN2Hx5s_cyLHILrxpN,🏚️,34.059181,-117.68138,house,"Seen while walking. Seen a hole in the fence, bring mask security prolly roaming around, better at night",Anonymous,0,False,2026-02-13 09:32:17,California
-OlN32aobnzEfXmfdxBu,Partially burnt Abandoned restraunt/house,34.143191,-118.75696,house,,Anonymous,0,False,2026-02-13 09:35:36,California
-OlN3O18FiXTDbkkC5gi,Canyon Tunnel,33.741581,-118.37472,tunnel,"You can get to the tunnel by walking through the canyon starting at the beach, or you can get to the tunnel by going down the hill by the road.",Anonymous,0,False,2026-02-13 09:37:04,California
-OlN3cBXfN1B-P5JCXbt,Small Building,33.737971,-118.39546,building,might be ass,Anonymous,0,False,2026-02-13 09:38:06,California
-OlN3vAQ2qo64YJ-tv8A,Mechanic Shop,33.83074,-118.270821,building,,Anonymous,0,False,2026-02-13 09:39:24,California
-OlN44hOC5b9qxPvFhng,Bando,34.070361,-118.51458,building,,Anonymous,0,False,2026-02-13 09:40:07,California
-OlN4bWomPZQmrIeHUCc,Stoney Hill Lookout Point,34.092061,-118.63611,other,,Anonymous,1,False,2026-02-13 09:42:25,California
-OlNLlp2i6fcReI3A7iB,Abandoned Apartments,34.27133,-118.40381,building,,Anonymous,0,False,2026-02-13 10:57:24,California
-OlNM1oYJm1Zx3ckHCuU,abandoned stables,34.357241,-118.5569,building,,Anonymous,0,False,2026-02-13 10:58:34,California
-OlNMFGjBURprLg6Vu3H,Abandoned Silos,34.347561,-118.40886,building,,Anonymous,0,False,2026-02-13 10:59:29,California
-OlNOiNN1C8kIFZj_DXU,Abandoned House,35.039191,-118.284791,house,,Anonymous,0,False,2026-02-13 11:10:17,California
-OlNSYqYM9S4QmK3f3mS,Abandoned Building,35.131401,-118.45851,building,no way to get in rn,Anonymous,0,False,2026-02-13 11:27:03,California
